show_id;type;title;director;country;date_added;release_year;rating;duration;listed_in;description
81030762;TV Show;Pioneers: First Women Filmmakers*;;;30/12/2018;1925;TV-PG;1 Season;TV Shows;This collection restores films from women who tackled hot-button issues, transcended norms, and left a mark on the history of cinema and the industry.
60027945;Movie;Prelude to War;Frank Capra;United States;31/03/2017;1942;TV-PG;52 min;Classic Movies, Documentaries;Frank Capra's documentary chronicles the rise of authoritarianism in Germany, Italy and Japan as America prepares for a defense of liberty.
60027942;Movie;The Battle of Midway;John Ford;United States;31/03/2017;1942;TV-G;18 min;Classic Movies, Documentaries;Director John Ford captures combat footage of the Battle of Midway, an air and sea campaign that was a turning point in the war in the Pacific.
80119186;Movie;Undercover: How to Operate Behind Enemy Lines;John Ford;United States;31/03/2017;1943;TV-PG;61 min;Classic Movies, Documentaries;This World War II-era training film dramatizes how secret agents should act while undercover and how to avoid capture by enemies.
70013050;Movie;Why We Fight: The Battle of Russia;Frank Capra, Anatole Litvak;United States;31/03/2017;1943;TV-14;82 min;Documentaries;This installment of Frank Capra's acclaimed documentary series highlights the need for a Russo-American alliance to defeat the Nazis.
70022548;Movie;WWII: Report from the Aleutians;John Huston;United States;31/03/2017;1943;NR;45 min;Documentaries;Filmmaker John Huston narrates this Oscar-nominated World War II-era film about life among the U.S. soldiers protecting Alaska’s Aleutian Islands.
80119191;Movie;The Negro Soldier;Stuart Heisler;United States;31/03/2017;1944;TV-14;40 min;Classic Movies, Documentaries;This documentary urged African Americans to enlist and join in the effort to be part of America's continuing fight in World War II.
80119189;Movie;Tunisian Victory;Frank Capra, John Huston, Hugh Stewart, Roy Boulting, Anthony Veiller;United States, United Kingdom;31/03/2017;1944;TV-PG;76 min;Classic Movies, Documentaries;British and American troops join forces to liberate a Nazi stranglehold in North Africa, sharing battles, hard work and a peaceful Christmas dinner.
80119190;Movie;Know Your Enemy - Japan;Frank Capra, Joris Ivens;United States;31/03/2017;1945;TV-14;63 min;Classic Movies, Documentaries;Though culturally insensitive by modern standards, this propaganda film examines the history of Japan from the 16th century through the 1930s.
80119192;Movie;Nazi Concentration Camps;George Stevens;United States;31/03/2017;1945;TV-MA;59 min;Classic Movies, Documentaries;Shocking footage shows Nazi concentration camps after liberation, including Buchenwald and Ohrdruf, where Gen. Eisenhower ordered local Nazis to tour.
80119188;Movie;San Pietro;John Huston;United States;31/03/2017;1945;TV-14;32 min;Classic Movies, Documentaries;After the Allies invade Italy, the Liri Valley town of San Pietro becomes an example of the brutal effects of combat, both for soldiers and civilians.
80119187;Movie;Let There Be Light;John Huston;United States;31/03/2017;1946;TV-PG;58 min;Classic Movies, Documentaries;Some returning combat veterans suffer scars that are more psychological than physical. This film follows patients and staff during their treatment.
