pagina,libros,autores,precio,valoracion
https://www.amazon.es/gp/bestsellers/books,"Cómo hacer que te pasen cosas buenas: Entiende tu cerebro, gestiona tus emociones, mejora tu vida (Fuera de colección)",Marian Rojas Estapé,"18,90 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,MasterChef. El arte de la cocina española: Recetas de nuestra tierra (F. COLECCION),Shine,"20,80 €","4,4 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"Hábitos atómicos: Cambios pequeños, resultados extraordinarios (Autoconocimiento)",James Clear,"15,25 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El retorno de la Derecha: Entre la esperanza y la desesperación (F. COLECCION),Federico Jiménez Losantos,"20,81 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Hipnoparto: Preparación para un parto positivo,Miss Carmen Moreno,"16,99 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Destroza este diario. Ahora a todo color (Libros Singulares),Keri Smith,"7,25 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Aprender a leer en la Escuela de Monstruos 1 - La mascota más grandota: En letra MAYÚSCULA para aprender a leer (Libros para niños a partir de 5 años) (Montena),Sally Rippin,"5,87 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,The Legend of Zelda : Tears of the Kingdom - La Guia Oficial Completa,Piggyback,"23,74 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El Hombre en busca de Sentido (SIN COLECCION),Viktor Emil Frankl,"12,25 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Arta Máximo Squad 1 - Misterio en el maldito colegio (Lo más visto),Arta Game,"14,09 €","4,3 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,EL SUTIL ARTE DE QUE (CASI TODO) TE IMPORTE UNA MIERDA: 2805 (HARPERCOLLINS),MARK MANSON,"16,05 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El chico de las musarañas (HarperCollins),Ana Obregón,"20,65 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Encuentra tu persona vitamina (F. COLECCION),Marian Rojas Estapé,"18,90 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,A 22 pasos del éxito: De 0 a 25.000.000€,Enrique Moris,"14,44 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El monje que vendió su Ferrari: Una fábula espiritual (Clave),Robin Sharma,"6,45 €","4,3 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El cuco de cristal (SUMA),Javier Castillo,"18,00 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"Cuaderno de Lettering para Niños y Niñas - Aprende y Practica: Libro con más de 120 páginas de teoría paso a paso, técnicas de caligrafía, plantillas ... proyectos de Lettering para principiantes.",Creative JournalBooks,"8,99 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El poder del ahora: una guía para la iluminación espiritual (Perenne),Eckhart Tolle,"6,45 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"Invicto: Logra Más, Sufre Menos: Entrenamiento mental para lograr más y sufrir menos (AUTOAYUDA Y SALUD)",Marcos Vázquez,"16,30 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Tu cuerpo es tuyo (11ªED) (ESPAÑOL SOMOS8),Lucía Serrano,"14,15 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Atlas. La historia de Pa Salt (Las Siete Hermanas 8) (Éxitos),Lucinda Riley,"20,80 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Este es solo un libro cualquiera,Camille Gil,"9,90 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"PODER DEL METABOLISMO, EL (AUTOAYUDA Y SALUD)",FRANK SUAREZ,"19,94 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"Libro de lettering. Colorea , practica y crea",Susaeta Equipo,"4,70 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Piense y hágase rico (Éxito),NAPOLEON HILL,"6,60 €","4,4 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Cómo (no) escribí nuestra historia (SUMA),Elísabet Benavent,"14,18 €","4,9 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,El amor comienza en ti: El método más poderoso para aumentar tu autoestima y tu felicidad (No Ficción),Curro Cañete,"17,00 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Este dolor no es mío. Identifica y resuelve los traumas familiares heredados (Psicoemoción),Mark Wolynn,"13,29 €","4,3 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Cuando ya no sea yo (No Ficción),Carme Elias,"19,85 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Invisible (Nube de Tinta),Eloy Moreno,"11,36 €","4,6 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"¡Hoy me comeré la vida!: 101 recetas sin gluten, fáciles y saludables... ¡y olvídate de la dieta! (Alimentación saludable)",Tania Borg,"20,80 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,La revolución de la glucosa: Equilibra tus niveles de glucosa y cambiarás tu salud y tu vida (Salud natural),Jessie Inchauspé,"14,05 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Tengo un volcán 5 (Calita): 4,Míriam Tirado Torras,"10,92 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Pokémon. Aventuras para colorear (Colección Pokémon),The Pokémon Company The Pokémon Company,"3,99 €","4,8 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,"Muchas vidas, muchos maestros (No ficción)",Brian Weiss,"10,40 €","4,5 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Contra la mayoría: Cómo la democracia genera la tiranía de la masa (ACTUALIDAD),Jano García,"16,00 €","4,7 de 5 estrellas"
https://www.amazon.es/gp/bestsellers/books,Cuentos Clásicos (Cuentos clásicos con pictogramas),Susaeta Ediciones,"1,99 €","4,2 de 5 estrellas"
